settlement_id,osm_id,name,settlement_type,latitude,longitude,cell_id,operational_risk_index,risk_level,operational_risk_index_24h,risk_level_24h,operational_risk_index_48h,risk_level_48h,operational_risk_index_72h,risk_level_72h,potentially_exposed,potentially_exposed_24h,potentially_exposed_48h,potentially_exposed_72h,population,population_source,exposure_semantics
OSM-SETTLEMENT-342098847,342098847,Dikchu,village,27.402223,88.522424,SKM_05005,38.6,MODERATE,34.1,MODERATE,34.1,MODERATE,29.4,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098838,342098838,Phodong,locality,27.41089,88.57178,SKM_04932,45.2,MODERATE,41.2,MODERATE,41.4,MODERATE,36.5,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-8757615075,8757615075,Tumlong,hamlet,27.420167,88.579657,SKM_04857,45.5,MODERATE,41.6,MODERATE,42.0,MODERATE,37.0,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098725,342098725,Tsomgo,village,27.375437,88.75668,SKM_05188,46.7,MODERATE,44.8,MODERATE,44.8,MODERATE,39.8,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-8568637913,8568637913,Changgu,village,27.377884,88.770921,SKM_05190,67.3,HIGH,65.6,HIGH,65.5,HIGH,60.6,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098706,342098706,Sherathang,village,27.3804,88.815213,SKM_05194,64.8,HIGH,63.5,HIGH,63.1,HIGH,58.4,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-6517964553,6517964553,Unnamed OSM settlement,village,27.279756,88.713516,SKM_06125,28.3,MODERATE,24.9,MODERATE,24.7,MODERATE,19.5,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342097621,342097621,Gangtok,city,27.329046,88.612267,SKM_05677,70.1,HIGH,66.8,HIGH,66.8,HIGH,61.6,HIGH,True,True,True,True,100300.0,OSM tag,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-6617643134,6617643134,Rongek,village,27.345944,88.650463,SKM_05511,37.8,MODERATE,34.4,MODERATE,34.4,MODERATE,29.2,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098686,342098686,Kyangsala,village,27.36694,88.71323,SKM_05267,70.9,HIGH,68.5,HIGH,68.5,HIGH,63.4,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-6617643299,6617643299,Penlong,village,27.372511,88.60244,SKM_05256,25.5,MODERATE,22.0,MODERATE,22.2,MODERATE,17.1,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098820,342098820,Kabi,locality,27.3999,88.61023,SKM_05014,45.6,MODERATE,42.2,MODERATE,42.6,MODERATE,37.5,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098830,342098830,Phensang,locality,27.42462,88.60886,SKM_04785,50.2,HIGH,46.9,MODERATE,47.5,MODERATE,42.4,MODERATE,True,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-4571035579,4571035579,Nanga,village,27.540913,88.622046,SKM_03833,33.9,MODERATE,32.0,MODERATE,33.0,MODERATE,27.9,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098766,342098766,Pegong,locality,27.58942,88.65006,SKM_03480,27.6,MODERATE,26.3,MODERATE,26.9,MODERATE,22.2,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-13148720740,13148720740,Chungthang,village,27.604236,88.64652,SKM_03335,26.2,MODERATE,25.3,MODERATE,25.6,MODERATE,21.1,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-1328010316,1328010316,Katao,village,27.671424,88.814089,SKM_02787,16.9,LOW,16.9,LOW,16.2,LOW,13.3,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-12498173447,12498173447,Dombang,hamlet,27.745682,88.777401,SKM_02221,19.8,LOW,20.2,MODERATE,19.5,LOW,16.8,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-12498173446,12498173446,Chhubakha,hamlet,27.824147,88.815369,SKM_01610,12.3,LOW,13.0,LOW,13.2,LOW,10.3,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098791,342098791,Chatten,locality,27.71576,88.55942,SKM_02483,69.6,HIGH,71.0,HIGH,71.9,HIGH,66.6,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098800,342098800,Lachen,town,27.730614,88.549501,SKM_02340,65.7,HIGH,68.0,HIGH,68.9,HIGH,63.6,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-12258040622,12258040622,Thangu,village,27.892499,88.535963,SKM_01079,20.3,MODERATE,23.1,MODERATE,23.7,MODERATE,19.4,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-9978572311,9978572311,Bamzey,hamlet,27.901491,88.544681,SKM_01005,14.1,LOW,16.9,LOW,17.5,LOW,13.3,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-1328010317,1328010317,Lachung,town,27.68971,88.742588,SKM_02641,28.9,MODERATE,29.3,MODERATE,28.0,MODERATE,25.3,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-1328019544,1328019544,Yumthang,locality,27.804261,88.703319,SKM_01807,15.9,LOW,16.6,LOW,15.7,LOW,13.0,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-1328019543,1328019543,Yumesamdong,locality,27.912735,88.712471,SKM_00946,13.5,LOW,14.8,LOW,13.8,LOW,11.0,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
